Day,Cage,trt,Response,responseHours,lifeSpan
1,1,T2,42,1008,long
2,1,T1,44,1056,long
2,2,T2,42,1008,long
3,1,T1,25,600,medium
3,2,T3,33,792,medium
3,3,T2,34,816,medium
4,1,T1,38,912,medium
5,2,T1,17,408,short
5,3,T2,25,600,medium
6,1,T2,30,720,medium
6,2,T3,24,576,medium
6,3,T1,36,864,medium
7,1,T2,37,888,medium
7,2,T3,31,744,medium
7,3,T1,23,552,medium
8,1,T1,31,744,medium
8,2,T2,30,720,medium
9,1,T1,25,600,medium
9,2,T2,37,888,medium
9,3,T3,30,720,medium
10,1,T2,30,720,medium
10,2,T3,23,552,medium
10,3,T1,25,600,medium
11,1,T3,21,504,medium
11,2,T1,22,528,medium
11,3,T2,34,816,medium
12,1,T2,37,888,medium
12,2,T3,35,840,medium
12,3,T1,39,936,medium
13,1,T1,31,744,medium
13,3,T2,23,552,medium
14,1,T2,31,744,medium
14,2,T1,32,768,medium
14,3,T3,26,624,medium
15,1,T3,31,744,medium
15,2,T1,27,648,medium
15,3,T2,41,984,long
16,1,T2,40,960,medium
16,2,T3,37,888,medium
17,1,T2,34,816,medium
17,2,T3,39,936,medium
18,1,T2,42,1008,long
18,2,T3,41,984,long
19,1,T3,42,1008,long
19,2,T3,39,936,medium
20,1,T1,41,984,long
20,2,T2,32,768,medium
21,1,T2,41,984,long
21,2,T3,39,936,medium
22,1,T3,40,960,medium
22,2,T2,37,888,medium
23,1,T1,40,960,medium
23,2,T3,37,888,medium
24,1,T2,36,864,medium
24,2,T2,41,984,long
25,1,T2,38,912,medium
25,2,T1,34,816,medium
26,1,T3,29,696,medium
26,2,T1,37,888,medium
27,1,T3,39,936,medium
27,2,T1,36,864,medium
28,1,T1,39,936,medium
28,2,T3,39,936,medium
29,1,T2,33,792,medium
29,2,T3,39,936,medium
30,1,T1,42,1008,long
30,2,T2,42,1008,long
