fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6,Red
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7,White
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6,White
5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6,White
6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,5,White
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,White
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,Red
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,White
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4,White
6.5,0.37,0.33,3.5,0.036,23,92,0.99136,3.18,0.38,11.2,6,White
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,White
7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5,White
6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6,White
8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,7,Red
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5,Red
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,White
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4,White
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,White
5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,White
5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,6,White
8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5,Red
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,White
6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6,White
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,White
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,White
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,5,White
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7,White
7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7,White
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6,White
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,Red
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,White
10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7,Red
6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,7,White
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6,Red
6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8,White
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6,White
5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5,White
7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6,White
5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6,White
6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5,White
6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,7,White
5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6,White
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7,Red
7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6,White
6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6,White
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7,Red
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6,White
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,Red
6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,5,White
7.6,0.25,1.23,4.6,0.035,51,294,0.99018,3.03,0.43,13.1,6,White
7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5,White
5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6,White
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6,White
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5,White
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,Red
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,White
7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5,White
8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8,White
6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7,5,White
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8,Red
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6,White
3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6,White
5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6,White
5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6,White
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5,Red
6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6,White
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,6,Red
6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,7,White
